NX_Q8WZ42,27416
NX_P38398,11785
NX_Q8WXI7,10772
NX_Q09666,8673
NX_Q15149,6929
NX_Q8IVF2,6595
NX_Q5VST9,5867
NX_Q8NF91,5713
NX_P21333,5474
NX_P20930,5183
NX_Q03001,5080
NX_P20929,5075
NX_Q8WXH0,4724
NX_P04114,4672
NX_Q9UPN3,4596
NX_Q9HC84,4497
NX_P78527,4341
NX_P98160,4336
NX_P51587,4309
NX_O75369,4308
NX_P49327,4119
NX_P35579,4115
NX_P02751,3976
NX_Q685J3,3955
NX_O75445,3903
NX_Q9Y6V0,3901
NX_Q9UQ35,3892
NX_Q14204,3867
NX_Q96RW7,3702
NX_Q8WXG9,3573
NX_O14686,3539
NX_Q9NZR2,3471
NX_P98164,3454
NX_P12111,3435
NX_Q9NU22,3426
NX_P21817,3369
NX_Q9Y490,3363
NX_Q13813,3347
NX_Q92736,3328
NX_P15924,3320
NX_P31327,3289
NX_P98161,3289
NX_Q63HN8,3272
NX_P46013,3270
NX_Q6V0I7,3255
NX_Q8TE73,3221
NX_P22105,3188
NX_Q07954,3154
NX_Q5T4S7,3150
NX_P49792,3138
NX_Q14517,3119
NX_P04637,3098
NX_O15230,3095
NX_A4UGR9,3084
NX_Q96DT5,3052
NX_P58107,3051
NX_Q01082,3048
NX_Q86YZ3,3024
NX_P35555,3021
NX_Q12955,3020
NX_Q14315,3014
NX_Q8TDW7,2986
NX_Q8NEZ4,2985
NX_P08238,2966
NX_Q7Z407,2963
NX_Q01484,2950
NX_P02768,2937
NX_P01024,2928
NX_Q13315,2924
NX_P01023,2892
NX_Q96JB1,2874
NX_Q9NYC9,2871
NX_Q8WXX0,2844
NX_P07900,2844
NX_P25054,2837
NX_P12883,2819
NX_Q15911,2789
NX_P11532,2753
NX_Q8TD57,2748
NX_Q8IVF4,2747
NX_Q86WI1,2717
NX_Q15413,2711
NX_P04275,2700
NX_P01266,2690
NX_Q9NYQ8,2689
NX_Q9P225,2689
NX_Q00610,2688
NX_Q99996,2680
NX_Q99715,2674
NX_O60494,2670
NX_Q7Z6Z7,2659
NX_O95714,2654
NX_P00533,2643
NX_P08F94,2634
NX_Q9NZJ4,2633
NX_O95613,2621
NX_P13611,2609
NX_Q709C8,2607
NX_Q14980,2578
NX_Q8NCM8,2573
NX_P46821,2566
NX_Q86UP3,2564
NX_Q9P2D7,2559
NX_P35749,2556
NX_P46939,2553
NX_P02549,2542
NX_Q9NR09,2525
NX_P46531,2519
NX_Q96T58,2508
NX_P24043,2480
NX_P46940,2472
NX_Q14789,2472
NX_P00450,2449
NX_P0CG48,2442
NX_Q8IZT6,2441
NX_P25391,2430
NX_P43246,2426
NX_Q86XX4,2414
NX_P12270,2411
NX_Q9UPA5,2399
NX_Q15154,2394
NX_Q8TCU4,2393
NX_Q12802,2389
NX_Q5S007,2386
NX_Q5THJ4,2386
NX_Q15751,2375
NX_P35556,2367
NX_Q9H251,2367
NX_Q8N3K9,2360
NX_P42858,2354
NX_P52701,2344
NX_O75592,2317
NX_P27816,2311
NX_P24821,2309
NX_P78509,2301
NX_P14618,2299
NX_Q7Z7G8,2289
NX_Q4LDE5,2283
NX_P78559,2279
NX_Q92616,2263
NX_P35580,2261
NX_Q6W4X9,2248
NX_Q16787,2228
